"Gene"	"Project_ID"	"Counts"
"15803"	"TET57"	"T293"	84
"15804"	"TET58"	"T293"	124
"15805"	"TET59"	"T293"	10
"15806"	"TET62"	"T293"	102
"15807"	"TET63"	"T293"	74
"15808"	"TET64"	"T293"	1150
"15809"	"TETA"	"T293"	5331
"15810"	"TETA46"	"T293"	56
"15811"	"TETA60"	"T293"	58
"15812"	"TETB"	"T293"	71
"15813"	"TETB46"	"T293"	148
"15814"	"TETB60"	"T293"	16
"15815"	"TETBP"	"T293"	427
"15816"	"TETC"	"T293"	654
"15817"	"TETD"	"T293"	79
"15818"	"TETE"	"T293"	22
"15819"	"TETG"	"T293"	196
"15820"	"TETH"	"T293"	35
"15821"	"TETJ"	"T293"	48
"15822"	"TETK"	"T293"	1463
"15823"	"TETL"	"T293"	3942
"15824"	"TETM"	"T293"	3928
"15825"	"TETO"	"T293"	3783
"15826"	"TETQ"	"T293"	1907
"15827"	"TETR|RequiresSNPConfirmation"	"T293"	2339
"15828"	"TETRM|RequiresSNPConfirmation"	"T293"	18
"15829"	"TETS"	"T293"	186
"15830"	"TETT"	"T293"	425
"15831"	"TETU"	"T293"	2
"15832"	"TETV"	"T293"	702
"15833"	"TETW"	"T293"	12912
"15834"	"TETX"	"T293"	571
"15835"	"TETY"	"T293"	118
"15836"	"TETZ"	"T293"	1888
"15837"	"THINB"	"T293"	588
"15838"	"THYA|RequiresSNPConfirmation"	"T293"	2338
"15839"	"TLA"	"T293"	44
"15840"	"TLMB"	"T293"	322
"15841"	"TLRC"	"T293"	4424
"15842"	"TLRCM"	"T293"	2391
"15843"	"TLYA|RequiresSNPConfirmation"	"T293"	466
"15844"	"TMB"	"T293"	8
"15845"	"TMRB"	"T293"	20
"15846"	"TOLC"	"T293"	67
"15847"	"TOLCSM"	"T293"	573
"15848"	"TOPR"	"T293"	314
"15849"	"TRGA"	"T293"	80
"15850"	"TRGB"	"T293"	804
"15851"	"TRIA"	"T293"	670
"15852"	"TRIAP"	"T293"	0
"15853"	"TRIB"	"T293"	768
"15854"	"TRIBP"	"T293"	10
"15855"	"TRIC"	"T293"	1614
"15856"	"TRICP"	"T293"	86
"15857"	"TROA"	"T293"	10
"15858"	"TROB"	"T293"	281
"15859"	"TROC"	"T293"	20
"15860"	"TROD"	"T293"	88
"15861"	"TROR"	"T293"	6
"15862"	"TRU"	"T293"	98
"15863"	"TSNR"	"T293"	340
"15864"	"TTGA"	"T293"	156
"15865"	"TTGB"	"T293"	1303
"15866"	"TTGC"	"T293"	180
"15867"	"TTGE"	"T293"	609
"15868"	"TTGF"	"T293"	132
"15869"	"TTGG"	"T293"	30
"15870"	"TTGR"	"T293"	280
"15871"	"TTGT"	"T293"	78
"15872"	"TTGV"	"T293"	42
"15873"	"TTGW"	"T293"	2
"15874"	"TTU"	"T293"	12
"15875"	"TUFAB|RequiresSNPConfirmation"	"T293"	49621
"15876"	"TUNR"	"T293"	168
"15877"	"TUPA"	"T293"	6
"15878"	"TUPB"	"T293"	14
"15879"	"TUPC"	"T293"	6
"15880"	"TUS"	"T293"	10
"15881"	"TVAA"	"T293"	18
"15882"	"TVAB"	"T293"	50
"15883"	"UGD"	"T293"	73
"15884"	"UHPT|RequiresSNPConfirmation"	"T293"	116
"15885"	"UL3|RequiresSNPConfirmation"	"T293"	381
"15886"	"VAM"	"T293"	2
"15887"	"VAN"	"T293"	22
"15888"	"VAN|RequiresSNPConfirmation"	"T293"	31
"15889"	"VANA"	"T293"	1189
"15890"	"VANB"	"T293"	38
"15891"	"VANC"	"T293"	147
"15892"	"VAND"	"T293"	228
"15893"	"VANE"	"T293"	22
"15894"	"VANG"	"T293"	56
"15895"	"VANHA"	"T293"	906
"15896"	"VANHB"	"T293"	110
"15897"	"VANHD"	"T293"	931
"15898"	"VANI"	"T293"	306
"15899"	"VANK"	"T293"	954
"15900"	"VANL"	"T293"	8
"15901"	"VANN"	"T293"	12
"15902"	"VANRA"	"T293"	174
"15903"	"VANRB"	"T293"	292
"15904"	"VANRC"	"T293"	232
"15905"	"VANRD"	"T293"	181
"15906"	"VANRE"	"T293"	30
"15907"	"VANRG"	"T293"	98
"15908"	"VANRI"	"T293"	103
"15909"	"VANRL"	"T293"	32
"15910"	"VANRN"	"T293"	8
"15911"	"VANRO"	"T293"	607
"15912"	"VANRS"	"T293"	555
"15913"	"VANSA"	"T293"	65
"15914"	"VANSB"	"T293"	122
"15915"	"VANSC"	"T293"	130
"15916"	"VANSD"	"T293"	247
"15917"	"VANSE"	"T293"	2
"15918"	"VANSG"	"T293"	16
"15919"	"VANSL"	"T293"	36
"15920"	"VANSM"	"T293"	97
"15921"	"VANSN"	"T293"	8
"15922"	"VANSO"	"T293"	400
"15923"	"VANTC"	"T293"	200
"15924"	"VANTE"	"T293"	14
"15925"	"VANTG"	"T293"	26
"15926"	"VANTML"	"T293"	16
"15927"	"VANTN"	"T293"	12
"15928"	"VANTRL"	"T293"	16
"15929"	"VANWA"	"T293"	24
"15930"	"VANWB"	"T293"	8
"15931"	"VANWG"	"T293"	6
"15932"	"VANWI"	"T293"	46
"15933"	"VANXA"	"T293"	1135
"15934"	"VANXB"	"T293"	368
"15935"	"VANXD"	"T293"	10
"15936"	"VANXI"	"T293"	0
"15937"	"VANXM"	"T293"	557
"15938"	"VANXO"	"T293"	8
"15939"	"VANXYC"	"T293"	146
"15940"	"VANXYE"	"T293"	12
"15941"	"VANXYG"	"T293"	10
"15942"	"VANXYL"	"T293"	2
"15943"	"VANXYN"	"T293"	4
"15944"	"VANYA"	"T293"	620
"15945"	"VANYB"	"T293"	18
"15946"	"VANYD"	"T293"	144
"15947"	"VANYF"	"T293"	268
"15948"	"VANYG"	"T293"	18
"15949"	"VANZA"	"T293"	24
"15950"	"VARG"	"T293"	12
"15951"	"VATA"	"T293"	33
"15952"	"VATB"	"T293"	19
"15953"	"VATC"	"T293"	105
"15954"	"VATD"	"T293"	8
"15955"	"VATE"	"T293"	29
"15956"	"VATF"	"T293"	40
"15957"	"VATI"	"T293"	10
"15958"	"VCAM"	"T293"	34
"15959"	"VCC"	"T293"	38
"15960"	"VCEA"	"T293"	8
"15961"	"VCEB"	"T293"	12
"15962"	"VCEC"	"T293"	58
"15963"	"VCER"	"T293"	6
"15964"	"VCMA"	"T293"	28
"15965"	"VCRM"	"T293"	240
"15966"	"VEB"	"T293"	2873
"15967"	"VEXA"	"T293"	54
"15968"	"VEXB"	"T293"	105
"15969"	"VEXC"	"T293"	36
"15970"	"VEXD"	"T293"	268
"15971"	"VEXE"	"T293"	64
"15972"	"VEXF"	"T293"	92
"15973"	"VEXH"	"T293"	86
"15974"	"VEXK"	"T293"	122
"15975"	"VGA"	"T293"	165
"15976"	"VGAB"	"T293"	53
"15977"	"VGAD"	"T293"	28
"15978"	"VGAE"	"T293"	40
"15979"	"VGBA"	"T293"	8
"15980"	"VGBB"	"T293"	166
"15981"	"VGBC"	"T293"	24
"15982"	"VHW"	"T293"	2
"15983"	"VIM"	"T293"	432
"15984"	"VMB"	"T293"	14
"15985"	"VMEA"	"T293"	42
"15986"	"VMEB"	"T293"	132
"15987"	"VMEC"	"T293"	92
"15988"	"VMED"	"T293"	48
"15989"	"VMEE"	"T293"	22
"15990"	"VMEF"	"T293"	46
"15991"	"VMEG"	"T293"	0
"15992"	"VMEH"	"T293"	18
"15993"	"VMEI"	"T293"	42
"15994"	"VMEJ"	"T293"	128
"15995"	"VMEK"	"T293"	128
"15996"	"VMEP"	"T293"	32
"15997"	"VMEQ"	"T293"	332
"15998"	"VMET"	"T293"	14
"15999"	"VMEU"	"T293"	16
"16000"	"VMEV"	"T293"	90
"16001"	"VMEY"	"T293"	150
"16002"	"VMEZ"	"T293"	74
"16003"	"VMLR"	"T293"	70
"16004"	"VMRA"	"T293"	80
"16005"	"VPH"	"T293"	655
"16006"	"VPOC"	"T293"	10
"16007"	"WALK|RequiresSNPConfirmation"	"T293"	413
"16008"	"WHH"	"T293"	0
"16009"	"WTPA"	"T293"	6
"16010"	"WTPB"	"T293"	2
"16011"	"WTPC"	"T293"	12
"16012"	"WUS"	"T293"	0
"16013"	"YAJC"	"T293"	36
"16014"	"YBTP"	"T293"	875
"16015"	"YBTQ"	"T293"	344
"16016"	"YCHH"	"T293"	9
"16017"	"YCNJ"	"T293"	84
"16018"	"YCNK"	"T293"	18
"16019"	"YDDG"	"T293"	18
"16020"	"YDEI"	"T293"	50
"16021"	"YDEO"	"T293"	16
"16022"	"YDEP"	"T293"	263
"16023"	"YEM"	"T293"	26
"16024"	"YFEA"	"T293"	14
"16025"	"YFEB"	"T293"	46
"16026"	"YFEC"	"T293"	116
"16027"	"YFED"	"T293"	6
"16028"	"YFMO"	"T293"	58
"16029"	"YFMP"	"T293"	16
"16030"	"YGIW"	"T293"	232
"16031"	"YGJH"	"T293"	110
"16032"	"YHCN"	"T293"	27
"16033"	"YIEF"	"T293"	71
"16034"	"YJAA"	"T293"	5
"16035"	"YJCG"	"T293"	356
"16036"	"YKKC"	"T293"	46
"16037"	"YKKCL|RequiresSNPConfirmation"	"T293"	110
"16038"	"YODB"	"T293"	137
"16039"	"YOGI"	"T293"	303
"16040"	"YRC"	"T293"	36
"16041"	"YYBT|RequiresSNPConfirmation"	"T293"	118
"16042"	"ZBMA"	"T293"	242
"16043"	"ZEVA"	"T293"	28
"16044"	"ZEVB"	"T293"	8
"16045"	"ZIAA"	"T293"	106
"16046"	"ZIAR"	"T293"	0
"16047"	"ZINT"	"T293"	15
"16048"	"ZIPB"	"T293"	820
"16049"	"ZITB"	"T293"	92
"16050"	"ZNEB"	"T293"	338
"16051"	"ZNTA"	"T293"	696
"16052"	"ZNTR"	"T293"	15
"16053"	"ZNUA"	"T293"	147
"16054"	"ZNUB"	"T293"	128
"16055"	"ZNUC"	"T293"	22
"16056"	"ZOG"	"T293"	44
"16057"	"ZRAR"	"T293"	231
"16058"	"ZRAS"	"T293"	91
"16059"	"ZUPT"	"T293"	65
"16060"	"ZUR"	"T293"	22
"16061"	"A16S|RequiresSNPConfirmation"	"T197"	147
"16062"	"AAC2-PRIME"	"T197"	6
"16063"	"AAC3"	"T197"	101
"16064"	"AAC3-PRIME"	"T197"	0
"16065"	"AAC6-PRIME"	"T197"	130
"16066"	"AAK"	"T197"	2
"16067"	"ABAF"	"T197"	0
"16068"	"ABAQ"	"T197"	0
"16069"	"ABCA"	"T197"	0
"16070"	"ABEM"	"T197"	0
"16071"	"ABES"	"T197"	0
"16072"	"ABUO"	"T197"	0
"16073"	"ACC"	"T197"	0
"16074"	"ACI"	"T197"	0
"16075"	"ACN"	"T197"	108
"16076"	"ACR3"	"T197"	0
"16077"	"ACRA"	"T197"	0
"16078"	"ACRB"	"T197"	12
"16079"	"ACRB|RequiresSNPConfirmation"	"T197"	8
"16080"	"ACRC"	"T197"	4
"16081"	"ACRD"	"T197"	10
"16082"	"ACRE"	"T197"	4
"16083"	"ACRF"	"T197"	0
"16084"	"ACRR|RequiresSNPConfirmation"	"T197"	0
"16085"	"ACRS"	"T197"	2
"16086"	"ACT"	"T197"	8
"16087"	"ACTA"	"T197"	10
"16088"	"ACTP"	"T197"	28
"16089"	"ACTP1"	"T197"	32
"16090"	"ACTPC"	"T197"	92
"16091"	"ACTR"	"T197"	3
"16092"	"ACTS"	"T197"	8
"16093"	"ADC"	"T197"	2
"16094"	"ADEA"	"T197"	0
"16095"	"ADEB"	"T197"	0
"16096"	"ADEC"	"T197"	0
"16097"	"ADED"	"T197"	0
"16098"	"ADEE"	"T197"	2
"16099"	"ADEF"	"T197"	0
"16100"	"ADEG"	"T197"	6
"16101"	"ADEH"	"T197"	0
"16102"	"ADEI"	"T197"	0
"16103"	"ADEJ"	"T197"	0
"16104"	"ADEK"	"T197"	0
"16105"	"ADEL"	"T197"	0
"16106"	"ADEN"	"T197"	0
"16107"	"ADER"	"T197"	0
"16108"	"ADES"	"T197"	0
"16109"	"ADET1"	"T197"	0
"16110"	"ADET2"	"T197"	0
"16111"	"AER"	"T197"	0
"16112"	"AFM"	"T197"	8
"16113"	"AHPC|RequiresSNPConfirmation"	"T197"	2
"16114"	"AIM"	"T197"	6
"16115"	"AIOA"	"T197"	0
"16116"	"AIOB"	"T197"	2
"16117"	"AIOE"	"T197"	4
"16118"	"AIOR"	"T197"	10
"16119"	"AIOS"	"T197"	0
"16120"	"AIOX"	"T197"	8
"16121"	"ALG"	"T197"	20
"16122"	"ALI"	"T197"	0
"16123"	"ALMG"	"T197"	0
"16124"	"ALR|RequiresSNPConfirmation"	"T197"	4
"16125"	"ALU1P"	"T197"	0
"16126"	"AMPC"	"T197"	8
"16127"	"AMPCR|RequiresSNPConfirmation"	"T197"	0
"16128"	"AMPH"	"T197"	12
"16129"	"AMRA"	"T197"	48
"16130"	"AMRB"	"T197"	72
"16131"	"AMVA"	"T197"	0
"16132"	"ANA"	"T197"	26
"16133"	"ANT2-DPRIME"	"T197"	0
"16134"	"ANT3-DPRIME"	"T197"	16
"16135"	"ANT4-PRIME"	"T197"	4
"16136"	"ANT6"	"T197"	0
"16137"	"ANT9"	"T197"	0
"16138"	"APH2-DPRIME"	"T197"	2
"16139"	"APH3-DPRIME"	"T197"	56
"16140"	"APH3-PRIME"	"T197"	56
"16141"	"APH4"	"T197"	2
"16142"	"APH6"	"T197"	64
"16143"	"APH7-DPRIME"	"T197"	8
"16144"	"APH9"	"T197"	8
"16145"	"APMA"	"T197"	0
"16146"	"AQU"	"T197"	2
"16147"	"ARIR"	"T197"	0
"16148"	"ARL"	"T197"	0
"16149"	"ARLR"	"T197"	0
"16150"	"ARLS"	"T197"	0
"16151"	"ARMA"	"T197"	0
"16152"	"ARMR"	"T197"	0
"16153"	"ARNA"	"T197"	22
"16154"	"ARNT"	"T197"	4
"16155"	"ARR"	"T197"	14
"16156"	"ARRA"	"T197"	0
"16157"	"ARRB"	"T197"	0
"16158"	"ARSA"	"T197"	0
"16159"	"ARSB"	"T197"	4
"16160"	"ARSBM"	"T197"	0
"16161"	"ARSC"	"T197"	0
"16162"	"ARSCM"	"T197"	4
"16163"	"ARSD"	"T197"	0
"16164"	"ARSDM"	"T197"	0
"16165"	"ARSH"	"T197"	2
"16166"	"ARSHN"	"T197"	0
"16167"	"ARSM"	"T197"	8
"16168"	"ARSP"	"T197"	0
"16169"	"ARSR"	"T197"	0
"16170"	"ARSRM"	"T197"	0
"16171"	"ARST"	"T197"	18
"16172"	"ASMA"	"T197"	12
"16173"	"ASR"	"T197"	0
"16174"	"AST"	"T197"	8
"16175"	"AXC"	"T197"	20
"16176"	"AXY"	"T197"	72
"16177"	"AXYZ|RequiresSNPConfirmation"	"T197"	16
"16178"	"AZECL"	"T197"	0
"16179"	"BACA"	"T197"	0
"16180"	"BAER"	"T197"	8
"16181"	"BAES"	"T197"	8
"16182"	"BAHA"	"T197"	2
"16183"	"BASRS"	"T197"	22
"16184"	"BASRS|RequiresSNPConfirmation"	"T197"	22
"16185"	"BAT"	"T197"	0
"16186"	"BBI"	"T197"	0
"16187"	"BC"	"T197"	0
"16188"	"BCII"	"T197"	0
"16189"	"BCL"	"T197"	2
"16190"	"BCR"	"T197"	4
"16191"	"BCR1"	"T197"	16
"16192"	"BCRA"	"T197"	0
"16193"	"BCRB"	"T197"	0
"16194"	"BCRC"	"T197"	0
"16195"	"BCRCM"	"T197"	0
"16196"	"BEL"	"T197"	0
"16197"	"BEPC"	"T197"	0
"16198"	"BEPD"	"T197"	8
"16199"	"BEPE"	"T197"	27
"16200"	"BEPF"	"T197"	4
"16201"	"BEPG"	"T197"	16
"16202"	"BES"	"T197"	0
"16203"	"BEXA"	"T197"	2
"16204"	"BFRA"	"T197"	0
"16205"	"BHSA"	"T197"	0
"16206"	"BIC"	"T197"	2
"16207"	"BIL"	"T197"	0
"16208"	"BJP1"	"T197"	24
"16209"	"BKC"	"T197"	6
"16210"	"BLA1"	"T197"	0
"16211"	"BLA2"	"T197"	0
"16212"	"BLAA"	"T197"	16
"16213"	"BLAB"	"T197"	0
"16214"	"BLAC"	"T197"	2
"16215"	"BLACRP"	"T197"	4
"16216"	"BLAE"	"T197"	6
"16217"	"BLAEAM"	"T197"	4
"16218"	"BLAEC"	"T197"	0
"16219"	"BLAECM"	"T197"	4
"16220"	"BLAF"	"T197"	4
"16221"	"BLAI"	"T197"	0
"16222"	"BLAL"	"T197"	22
"16223"	"BLAP"	"T197"	0
"16224"	"BLAPAM"	"T197"	16
"16225"	"BLAPLA"	"T197"	0
"16226"	"BLAR"	"T197"	0
"16227"	"BLAS"	"T197"	6
"16228"	"BLASGM"	"T197"	90
"16229"	"BLASME"	"T197"	0
"16230"	"BLAZ"	"T197"	0
"16231"	"BLE"	"T197"	0
"16232"	"BLM"	"T197"	8
"16233"	"BLT"	"T197"	0
"16234"	"BLTD"	"T197"	0
"16235"	"BLTR"	"T197"	0
"16236"	"BMR"	"T197"	0
"16237"	"BPU"	"T197"	0
"16238"	"BRO"	"T197"	0
"16239"	"BRP"	"T197"	0
"16240"	"BSU"	"T197"	0
"16241"	"BUT"	"T197"	0
"16242"	"CADA"	"T197"	0
"16243"	"CADC"	"T197"	0
"16244"	"CADD"	"T197"	0
"16245"	"CADR"	"T197"	2
"16246"	"CADX"	"T197"	0
"16247"	"CAM"	"T197"	4
"16248"	"CAP16S|RequiresSNPConfirmation"	"T197"	14
"16249"	"CARA"	"T197"	33
"16250"	"CARB"	"T197"	8
"16251"	"CAT"	"T197"	20
"16252"	"CATA"	"T197"	0
"16253"	"CATB|RequiresSNPConfirmation"	"T197"	14
"16254"	"CATP|RequiresSNPConfirmation"	"T197"	0
"16255"	"CATS"	"T197"	0
"16256"	"CATT"	"T197"	0
"16257"	"CAU"	"T197"	2
"16258"	"CBLA"	"T197"	0
"16259"	"CBP"	"T197"	0
"16260"	"CCRA"	"T197"	0
"16261"	"CDEA"	"T197"	0
"16262"	"CDSA|RequiresSNPConfirmation"	"T197"	0
"16263"	"CEOA"	"T197"	16
"16264"	"CEOB"	"T197"	111
"16265"	"CEPA"	"T197"	0
"16266"	"CEPAB"	"T197"	2
"16267"	"CEPH"	"T197"	1
"16268"	"CEPS"	"T197"	4
"16269"	"CEUE"	"T197"	0
"16270"	"CFE"	"T197"	0
"16271"	"CFIA"	"T197"	4
"16272"	"CFR"	"T197"	0
"16273"	"CFRA"	"T197"	0
"16274"	"CFRB"	"T197"	0
"16275"	"CFRC"	"T197"	0
"16276"	"CFX"	"T197"	0
"16277"	"CGA"	"T197"	0
"16278"	"CGB"	"T197"	0
"16279"	"CHAA"	"T197"	0
"16280"	"CHR"	"T197"	13
"16281"	"CHRA"	"T197"	12
"16282"	"CHRB"	"T197"	0
"16283"	"CHRB1"	"T197"	0
"16284"	"CHRBM"	"T197"	10
"16285"	"CHRC"	"T197"	0
"16286"	"CHRE"	"T197"	0
"16287"	"CHRF"	"T197"	0
"16288"	"CHRI"	"T197"	0
"16289"	"CHRR"	"T197"	0
"16290"	"CIA"	"T197"	0
"16291"	"CINA"	"T197"	10
"16292"	"CIPA"	"T197"	0
"16293"	"CKO"	"T197"	2
"16294"	"CLBA"	"T197"	0
"16295"	"CLBB"	"T197"	0
"16296"	"CLBC"	"T197"	0
"16297"	"CLBD"	"T197"	0
"16298"	"CLS|RequiresSNPConfirmation"	"T197"	0
"16299"	"CMA"	"T197"	0
"16300"	"CME"	"T197"	0
"16301"	"CMEA"	"T197"	0
"16302"	"CMEB"	"T197"	0
"16303"	"CMEC"	"T197"	0
"16304"	"CMED"	"T197"	0
"16305"	"CMEE"	"T197"	0
"16306"	"CMEF"	"T197"	0
"16307"	"CMER"	"T197"	0
"16308"	"CMH"	"T197"	0
"16309"	"CML"	"T197"	23
"16310"	"CMLA"	"T197"	4
"16311"	"CMLB"	"T197"	0
"16312"	"CMLR"	"T197"	8
"16313"	"CMLV"	"T197"	32
"16314"	"CMR"	"T197"	0
"16315"	"CMRA"	"T197"	10
"16316"	"CMTR"	"T197"	0
"16317"	"CMX"	"T197"	2
"16318"	"CMY"	"T197"	18
"16319"	"CNRA"	"T197"	56
"16320"	"CNRB"	"T197"	18
"16321"	"CNRC"	"T197"	2
"16322"	"CNRH"	"T197"	6
"16323"	"CNRR"	"T197"	0
"16324"	"CNRT"	"T197"	2
"16325"	"CNRY"	"T197"	0
"16326"	"COAR"	"T197"	0
"16327"	"COMR"	"T197"	0
"16328"	"COPA"	"T197"	80
"16329"	"COPAM"	"T197"	4
"16330"	"COPB"	"T197"	20
"16331"	"COPBM"	"T197"	0
"16332"	"COPC"	"T197"	14
"16333"	"COPD"	"T197"	16
"16334"	"COPF"	"T197"	37
"16335"	"COPG"	"T197"	10
"16336"	"COPJ"	"T197"	0
"16337"	"COPK"	"T197"	0
"16338"	"COPL"	"T197"	0
"16339"	"COPM"	"T197"	0
"16340"	"COPP"	"T197"	0
"16341"	"COPR"	"T197"	8
"16342"	"COPS"	"T197"	2
"16343"	"COPV"	"T197"	6
"16344"	"COPY"	"T197"	0
"16345"	"COPZ"	"T197"	0
"16346"	"CORA"	"T197"	4
"16347"	"CORB"	"T197"	2
"16348"	"CORC"	"T197"	0
"16349"	"CORD"	"T197"	0
"16350"	"CORR"	"T197"	26
"16351"	"CORS"	"T197"	12
"16352"	"CORT"	"T197"	0
"16353"	"CPAA"	"T197"	0
"16354"	"CPHA"	"T197"	4
"16355"	"CPRR"	"T197"	8
"16356"	"CPRS"	"T197"	16
"16357"	"CPS"	"T197"	0
"16358"	"CPT"	"T197"	4
"16359"	"CPXAR"	"T197"	30
"16360"	"CRCB"	"T197"	0
"16361"	"CRD"	"T197"	4
"16362"	"CRDA"	"T197"	0
"16363"	"CRDB"	"T197"	0
"16364"	"CRDR"	"T197"	0
"16365"	"CRDS"	"T197"	0
"16366"	"CRH"	"T197"	14
"16367"	"CRP"	"T197"	0
"16368"	"CRPP"	"T197"	0
"16369"	"CSA"	"T197"	8
"16370"	"CSOR"	"T197"	0
"16371"	"CSP"	"T197"	0
"16372"	"CTPC"	"T197"	41
"16373"	"CTPD"	"T197"	32
"16374"	"CTPG"	"T197"	26
"16375"	"CTPV"	"T197"	44
"16376"	"CTX"	"T197"	12
"16377"	"CUEA"	"T197"	85
"16378"	"CUEO"	"T197"	0
"16379"	"CUEP"	"T197"	0
"16380"	"CUER"	"T197"	0
"16381"	"CUID"	"T197"	4
"16382"	"CUSA"	"T197"	6
"16383"	"CUSB"	"T197"	10
"16384"	"CUSC"	"T197"	2
"16385"	"CUSF"	"T197"	0
"16386"	"CUSR"	"T197"	0
"16387"	"CUSS"	"T197"	0
"16388"	"CUTA"	"T197"	0
"16389"	"CUTC"	"T197"	0
"16390"	"CUTE"	"T197"	2
"16391"	"CUTF"	"T197"	0
"16392"	"CUTO"	"T197"	36
"16393"	"CUTR"	"T197"	0
"16394"	"CVI"	"T197"	2
"16395"	"CZCA"	"T197"	16
"16396"	"CZCB"	"T197"	20
"16397"	"CZCC"	"T197"	6
"16398"	"CZCCM"	"T197"	2
"16399"	"CZCD"	"T197"	12
"16400"	"CZCE"	"T197"	0
"16401"	"CZCP"	"T197"	30
"16402"	"CZCR"	"T197"	0
"16403"	"CZCS"	"T197"	2
"16404"	"CZNA"	"T197"	0
"16405"	"CZNB"	"T197"	0
"16406"	"CZNC"	"T197"	0
"16407"	"CZRA"	"T197"	68
"16408"	"CZRB"	"T197"	34
"16409"	"DES"	"T197"	0
"16410"	"DFRA"	"T197"	0
"16411"	"DFRB"	"T197"	0
"16412"	"DFRB|RequiresSNPConfirmation"	"T197"	0
"16413"	"DFRC|RequiresSNPConfirmation"	"T197"	0
"16414"	"DFRD"	"T197"	0
"16415"	"DFRE"	"T197"	0
"16416"	"DFRF"	"T197"	0
"16417"	"DFRG"	"T197"	0
"16418"	"DFRI"	"T197"	0
"16419"	"DFRK"	"T197"	0
"16420"	"DHA"	"T197"	2
"16421"	"DHAP"	"T197"	0
"16422"	"DHFR|RequiresSNPConfirmation"	"T197"	0
"16423"	"DHFRIII|RequiresSNPConfirmation"	"T197"	0
"16424"	"DHPS|RequiresSNPConfirmation"	"T197"	0
"16425"	"DHT"	"T197"	12
"16426"	"DIM"	"T197"	0
"16427"	"DMEF"	"T197"	28
"16428"	"DMER"	"T197"	2
"16429"	"DNAK"	"T197"	65
"16430"	"DPR"	"T197"	0
"16431"	"DPSA"	"T197"	6
"16432"	"DRRA"	"T197"	2
"16433"	"DSBA"	"T197"	0
"16434"	"DSBB"	"T197"	0
"16435"	"DSBC"	"T197"	0
"16436"	"EATAV|RequiresSNPConfirmation"	"T197"	0
"16437"	"EBR"	"T197"	0
"16438"	"EBRA"	"T197"	0
"16439"	"EBRB"	"T197"	0
"16440"	"ECV"	"T197"	0
"16441"	"EDEQ"	"T197"	0
"16442"	"EEFA"	"T197"	10
"16443"	"EEFX"	"T197"	0
"16444"	"EFM"	"T197"	6
"16445"	"EFMA"	"T197"	0
"16446"	"EFPA"	"T197"	14
"16447"	"EFRA"	"T197"	10
"16448"	"EFRB"	"T197"	2
"16449"	"EIS|RequiresSNPConfirmation"	"T197"	2
"16450"	"ELM"	"T197"	0
"16451"	"EMBA|RequiresSNPConfirmation"	"T197"	16
"16452"	"EMBB|RequiresSNPConfirmation"	"T197"	10
"16453"	"EMBC|RequiresSNPConfirmation"	"T197"	24
"16454"	"EMBR|RequiresSNPConfirmation"	"T197"	10
"16455"	"EMEA"	"T197"	0
"16456"	"EMHA"	"T197"	2
"16457"	"EMHB"	"T197"	22
"16458"	"EMHC"	"T197"	32
"16459"	"EMHR"	"T197"	6
"16460"	"EMMDR"	"T197"	4
"16461"	"EMRA"	"T197"	0
"16462"	"EMRASM"	"T197"	14
"16463"	"EMRB"	"T197"	0
"16464"	"EMRBSM"	"T197"	22
"16465"	"EMRCSM"	"T197"	28
"16466"	"EMRD"	"T197"	2
"16467"	"EMRE"	"T197"	8
"16468"	"EMRK"	"T197"	0
"16469"	"EMRR"	"T197"	0
"16470"	"EMRRSM"	"T197"	4
"16471"	"EMRY"	"T197"	0
"16472"	"EMTA"	"T197"	0
"16473"	"EPTA"	"T197"	0
"16474"	"EPTB"	"T197"	4
"16475"	"EREA"	"T197"	0
"16476"	"EREB"	"T197"	0
"16477"	"ERED"	"T197"	0
"16478"	"ERM"	"T197"	42
"16479"	"ERM30"	"T197"	0
"16480"	"ERM32"	"T197"	6
"16481"	"ERM37"	"T197"	0
"16482"	"ERM41"	"T197"	0
"16483"	"ERM42"	"T197"	0
"16484"	"ERM44"	"T197"	0
"16485"	"ERM50"	"T197"	2
"16486"	"ERM51"	"T197"	2
"16487"	"ERM52"	"T197"	0
"16488"	"ERMA"	"T197"	0
"16489"	"ERMB"	"T197"	0
"16490"	"ERMC"	"T197"	0
"16491"	"ERMD"	"T197"	0
"16492"	"ERME"	"T197"	12
"16493"	"ERMF"	"T197"	0
"16494"	"ERMG"	"T197"	0
"16495"	"ERMH"	"T197"	6
"16496"	"ERMN"	"T197"	10
"16497"	"ERMO"	"T197"	18
"16498"	"ERMQ"	"T197"	0
"16499"	"ERMR"	"T197"	8
"16500"	"ERMS"	"T197"	6
"16501"	"ERMT"	"T197"	0
"16502"	"ERMU"	"T197"	0
"16503"	"ERMV"	"T197"	6
"16504"	"ERMX"	"T197"	0
"16505"	"ERP"	"T197"	0
"16506"	"ESP"	"T197"	0
"16507"	"ESTD"	"T197"	12
"16508"	"ETHA|RequiresSNPConfirmation"	"T197"	18
"16509"	"ETHR|RequiresSNPConfirmation"	"T197"	2
"16510"	"EVGA"	"T197"	0
"16511"	"EVGS"	"T197"	6
"16512"	"EVM"	"T197"	0
"16513"	"EXO"	"T197"	6
"16514"	"FABG|RequiresSNPConfirmation"	"T197"	0
"16515"	"FABI"	"T197"	0
"16516"	"FABK"	"T197"	0
